ip,time,expired,referrer_url,click_state,t1,t2,t3,conv,conv2,conv3
99.203.23.36,2018-01-09 01:00:48,,"http://api.jobadx.com/aclk?ai=1c155543-e7c9-4790-9210-015d0005a9ec&utoken=4c2784ce-09a8-414a-b34d-a675385a75e2&vistoken=f98a0e17-2f01-4480-90e7-12b89952e588",TX,,,,,,
108.93.197.29,2018-01-09 01:19:34,,"http://api.jobadx.com/aclk?ai=f540aed4-9014-4425-9521-5f06d3601e20&utoken=23049acb-137f-46fe-b885-b2b630ab2e26&vistoken=943a27f7-464e-4ed0-8de1-dd828b3c0181",CA,,,,,,
72.202.191.20,2018-01-09 01:21:41,,"http://api.jobadx.com/aclk?ai=a45341b4-a783-4706-a88c-339f1f9c451d&utoken=69e8cdf6-4318-4601-b906-7ef899c496c6&vistoken=33e61917-2ecd-4cf9-a088-97aab8f9015d",OK,,,,,,
172.58.32.196,2018-01-09 01:24:52,,"http://api.jobadx.com/aclk?ai=4a186384-59a2-4cd2-89d8-1fb76d8ed5ee&utoken=29a90e87-6930-43a1-a997-8cb93c3b8c32&vistoken=73357565-b1c8-463a-8e2d-065ce26616de",CA,,,,,,
172.58.32.196,2018-01-09 01:27:05,,"http://api.jobadx.com/aclk?ai=0983b071-55d1-4a61-a684-d10965d70b15&utoken=de65df81-b793-4e97-aeda-ca8dabbbd6d1&vistoken=838aa47e-4fab-4353-a9dc-aae121c2460c",CA,,,,,,
99.68.48.153,2018-01-09 01:35:20,,"http://api.jobadx.com/aclk?ai=56d2d9e3-932f-4049-b846-b60ebe561a5f&utoken=06b2758c-8bad-4a01-bf54-499a04025c90&vistoken=49945080-90f8-46d6-bafc-c83fdfbdab2f",KS,,,,,,
99.68.48.153,2018-01-09 01:41:09,,"http://api.jobadx.com/aclk?ai=7a732e8c-6cef-4152-bfb7-067f526c1606&utoken=06b2758c-8bad-4a01-bf54-499a04025c90&vistoken=3f3c07fe-a65e-48d8-9031-3efc3e4d63e5",KS,,,,,,
99.203.27.152,2018-01-09 01:44:44,,"http://api.jobadx.com/aclk?ai=e63aa4cb-8719-4c7c-a4c1-211d3c35ec07&utoken=6b2ff226-026e-4fd0-bc20-f3d6cafce470&vistoken=efa93d43-3a9f-40bc-ae53-5f4adbfa2c0c",TX,,,,,,
67.83.25.46,2018-01-09 01:47:39,,"http://api.jobadx.com/aclk?ai=a51c9d12-49d3-491d-9b2d-29e6e74ca083&utoken=c857dde9-a13e-4b3c-b22c-42bb115ef6b7&vistoken=4d72b01c-f9ff-44b6-8a23-b39abb19641d",NY,,,,,,
76.217.12.179,2018-01-09 01:48:43,,"http://api.jobadx.com/aclk?ai=dbcf63ea-a0cb-457e-955d-f7b507a476f3&utoken=cb86abd8-8b35-44d4-b9f5-fb21fabe404a&vistoken=8613dd16-0351-4eb3-bd8d-0a0bcdecaca1",IL,,,,,,
67.83.25.46,2018-01-09 01:49:18,,"http://api.jobadx.com/aclk?ai=889f9408-a28d-42b5-bd29-8b61fb9fe6d1&utoken=c857dde9-a13e-4b3c-b22c-42bb115ef6b7&vistoken=3bfe2f43-0eac-49e0-a0e3-53cf5d191cc3",NY,,,,,,
67.190.80.232,2018-01-09 02:08:22,,"http://api.jobadx.com/aclk?ai=0ca952db-189d-43ad-adc7-6078d0d70b7c&utoken=81ebfe88-d36f-4d9f-a814-da7dbbc61c40&vistoken=72a62d0b-1116-42f3-b7b5-f0012af61484",CO,,,,,,
67.169.28.127,2018-01-09 02:31:35,,"http://api.jobadx.com/aclk?ai=9aeffe57-c5bc-429e-862b-c27828a21cce&utoken=552768e7-4acf-48be-8188-3a60c36dde6f&vistoken=b773b64f-8b11-4b24-a6c5-0d112926a935",CA,,,,,,
104.148.157.211,2018-01-09 02:49:32,,"http://api.jobadx.com/aclk?ai=2827620f-7409-44a7-bffc-bfcb06e45ff5&utoken=c7341929-5692-44fd-a995-9d20bbdc0790&vistoken=66349344-6e1e-46d7-a182-b551cc74446a",NJ,,,,,,
166.137.252.33,2018-01-09 03:01:59,,"http://api.jobadx.com/aclk?ai=960a7248-987a-4ade-9e30-b5e3f708adf6&utoken=SJGKm5rfM&vistoken=de21c9db-edf9-45d4-8bd4-50ce41be2962",NY,,,,,,
74.142.101.51,2018-01-09 04:51:53,,"http://api.jobadx.com/aclk?ai=cf63e625-d382-4b1d-bd69-2f55e7c24a5b&utoken=3aabd2f7-7d8d-4d03-90f7-5ab781b0de38&vistoken=115a76ec-c290-4509-bc29-63e7053a17f1",KY,,,,,,
65.35.56.69,2018-01-09 05:32:06,,"http://api.jobadx.com/aclk?ai=0b0fb6cf-648f-4593-8236-c7d591ad2886&utoken=071eef84-4de2-4eb8-a46a-75a509000987&vistoken=384b77cb-d65b-49cc-a680-475b1c437ae9",FL,,,,,,
76.118.116.186,2018-01-09 06:38:56,,"http://api.jobadx.com/aclk?ai=14d45e86-502f-4f7d-8697-8f20d6784a72&utoken=60ca9719-aa7f-41cf-8ebe-455cc4470504&vistoken=c5186aef-16a3-4448-b406-8fa95d78f1f1",MA,,,,,,
73.42.73.182,2018-01-09 06:49:08,,"http://api.jobadx.com/aclk?ai=15d197d4-d4d7-4e1d-a25a-fa4073e161d9&utoken=097a42d7-a782-4d80-b057-fa47694d81a8&vistoken=94fe85a7-90ce-4a20-bad0-547db228d8be",FL,,,,,,
67.242.36.45,2018-01-09 06:49:14,,"http://api.jobadx.com/aclk?ai=52ab8972-6b56-4589-a4cb-adbbd6759e9d&utoken=b8f0f4e9-53e5-4ece-a4ad-dc0ff20ad079&vistoken=397e054c-af52-4822-811f-988ecd1f4ce8",NY,,,,,,
174.81.68.80,2018-01-09 07:34:52,,"http://api.jobadx.com/aclk?ai=17285de1-0fa2-49a1-8df1-e653482e8e72&utoken=092e64d8-6df0-4b01-9c88-9c99952e981d&vistoken=17a73cf2-d9bc-4354-a274-ad50d2164ec7",NC,,,,,,
172.58.4.5,2018-01-09 07:44:27,,"http://api.jobadx.com/aclk?ai=62ac3e8c-cf3d-4917-b532-c7b8b831e2db&utoken=3612473b-3d57-4673-a488-0a0fd3093db8&vistoken=b7264b4a-5c3e-4fee-9c9a-4900fddc428c",GA,,,,,,
75.68.53.37,2018-01-09 07:53:32,,"http://api.jobadx.com/aclk?ai=825f8a18-a6d7-4e3e-a225-7333b877a3df&utoken=06663ad4-3823-4f1d-b74c-89f5fd08c95d&vistoken=f99cd6b3-96ff-4253-a7df-7c7bb56e1cd8",NH,,,,,,
107.77.241.12,2018-01-09 07:58:35,,"http://api.jobadx.com/aclk?ai=d1fd0ab9-d030-4fa1-b8fa-861cf4c4fc6f&utoken=34b4adf1-1375-4ba4-8c44-9827a87d263a&vistoken=a7ac9fbf-38ff-4cb0-828e-c6b7d5a4472c",DC,,,,,,
147.92.92.206,2018-01-09 08:39:08,,"http://api.jobadx.com/aclk?ai=0c38e0d7-37a3-43f5-9178-f42cc5ec76be&utoken=HyhqqE2bM&vistoken=7f483f73-20cc-4b05-bc91-797221303816",,,,,,,
168.229.254.22,2018-01-09 08:51:21,,"http://api.jobadx.com/aclk?ai=a65f3aaa-b3d0-4d2d-997f-d6a0cea352a2&utoken=SkzpuLBzz&vistoken=e60b2a0c-3d99-45ac-89e4-66961971d13d",NJ,,,,,,
72.224.148.81,2018-01-09 09:04:31,,"http://api.jobadx.com/aclk?ai=c74044e3-32d8-4585-afc8-370c3adb840c&utoken=8fdcceac-c660-4865-9983-97ff56fb8cad&vistoken=39daa2a1-f358-45ec-910d-40a765d59d0c",MA,,,,,,
174.227.166.188,2018-01-09 09:36:53,,"http://api.jobadx.com/aclk?ai=1d595c2b-3299-4533-8053-e6ac65616562&utoken=6ea75905-9efe-4cf3-b5fe-17cfb0dbdcf2&vistoken=463fe32c-1a0c-4d5d-8ddf-89570b923e43",,,,,,,
73.79.18.183,2018-01-09 09:37:50,,"http://api.jobadx.com/aclk?ai=4390ca90-c791-4a55-a605-e04f917ba133&utoken=b4e62ed7-806b-4a36-91de-144de298bfb3&vistoken=d0976b3f-8007-4758-b589-6322d55196ca",PA,,,,,,
173.28.44.118,2018-01-09 09:44:54,,"http://api.jobadx.com/aclk?ai=5bcd3e6a-8d07-46b8-8e36-ed8dceb140eb&utoken=93e47c10-ae4b-4d91-8504-6b36c6d73aac&vistoken=687ca1b2-bd34-45fa-a066-2ce3c2847942",CA,,,,,,
166.170.15.79,2018-01-09 09:54:13,,"http://api.jobadx.com/aclk?ai=09585c93-bb73-402d-b1c1-b6fc2ebc5719&utoken=a28d20eb-c261-4d3d-98bb-0b4bd8f97211&vistoken=60c7d4c6-c049-4871-8e9a-7f1456969304",CA,,,,,,
173.28.44.118,2018-01-09 09:57:08,,"http://api.jobadx.com/aclk?ai=b98b87d3-804d-4246-b72f-216cf0baf356&utoken=e155e83f-c806-4483-8715-4d1a0c3e0642&vistoken=2eb447ab-7c71-4f35-a556-1a6e3c6ba79b",CA,,,,,,
73.185.97.226,2018-01-09 10:00:05,,"",CA,,,,,,
184.61.197.225,2018-01-09 10:10:41,,"http://api.jobadx.com/aclk?ai=20a9909d-6974-4f05-8158-cf129d822cd4&utoken=d665ad78-b51e-46d1-a93b-f14e7ffd6b23&vistoken=724936bc-66cc-4923-89a5-17e9206ad1c7",WI,,,,,,
